EnsemblProteinFamilyID(s)	HGNCsymbol
ENSFM00730001521432	MT-ND1
ENSFM00470000251440	MT-ND2
ENSFM00730001521286	MT-CO1
ENSFM00730001521575	MT-CO2
ENSFM00500000440816	MT-ATP8
ENSFM00460000244925	MT-ATP6
ENSFM00730001521534	MT-CO3
ENSFM00730001521965	MT-ND3
ENSFM00670001235706	MT-ND4L
ENSFM00510000502738	MT-ND4
ENSFM00430000230099	MT-ND5
ENSFM00730001521948	MT-ND6
ENSFM00630001050540	MT-CYB
ENSFM00250000002345	DISP2
ENSFM00600000923433	CDC42EP5
ENSFM00770001847552	CYP2D6
ENSFM00740001589134	KIR3DL3
ENSFM00500000274931	ARL11
ENSFM00500000308143	TMEM191B
ENSFM00500000274438	B3GALT4
ENSFM00250000003553	SDCBP2
ENSFM00670001237514	ARL17B
ENSFM00300000081893	PRR20D
ENSFM00500000272039	IGFALS
ENSFM00660001189602	IGFALS
ENSFM00250000004465	ITPK1
ENSFM00500000272733	ZNRD1
ENSFM00250000004960	OTC
ENSFM00250000006466	C21orf91
ENSFM00760001716565	RIPPLY3
ENSFM00670001238401	CST9L
ENSFM00740001589389	MXRA5
ENSFM00250000000925	SLC23A2
ENSFM00730001521173	HLA-DQB1
ENSFM00250000001872	SPECC1L
ENSFM00680001326185	MMEL1
ENSFM00800002003392	MMEL1
ENSFM00760001714947	CNOT3
ENSFM00790001965082	CNOT3
ENSFM00670001267250	CNOT3
ENSFM00500000271614	PABPN1
ENSFM00720001492013	GRIK1
ENSFM00670001235939	CPLX1
ENSFM00250000010746	CD27
ENSFM00500000269837	CRYBB3
ENSFM00790001977175	KCNIP4
ENSFM00250000002752	SPSB3
ENSFM00500000272594	NDUFA6
ENSFM00710001460024	NDUFA6
ENSFM00740001589102	LILRB2
ENSFM00250000000816	SLC25A6
ENSFM00250000000867	MAPRE1
ENSFM00500000271793	DXO
ENSFM00500000292227	KRTAP5-6
ENSFM00250000001518	USP9X
ENSFM00560000825764	USP9X
ENSFM00670001235687	VAMP1
ENSFM00360000109890	OR3A3
ENSFM00250000009090	C9orf131
ENSFM00620001020722	C9orf131
ENSFM00620001020723	C9orf131
ENSFM00550000759974	C9orf131
ENSFM00500000287389	CASC10
ENSFM00250000001005	DENND4C
ENSFM00250000001816	NAT2
ENSFM00250000003991	FANCD2
ENSFM00550000758168	FANCD2
ENSFM00740001589134	KIR2DL1
ENSFM00670001277416	ZNF66
ENSFM00700001396746	ZNF66
ENSFM00250000000002	ZNF66
ENSFM00500000270369	GDF7
ENSFM00670001245512	TRBV23OR9-2
ENSFM00250000006128	AIMP2
ENSFM00550000757037	AIMP2
ENSFM00740001589134	KIR2DL5B
ENSFM00740001589134	KIR2DS1
ENSFM00730001521692	DGKB
ENSFM00550000757778	DGKB
ENSFM00740001589134	KIR2DS3
ENSFM00250000004096	AKAP3
ENSFM00670001282257	IGLJ6
ENSFM00500000273557	C2CD4C
ENSFM00740001589134	KIR3DX1
ENSFM00770001847695	LANCL3
ENSFM00740001589134	KIR2DL5A
ENSFM00500000270552	SGTA
ENSFM00690001365062	SGTA
ENSFM00250000002798	RRBP1
ENSFM00740001589134	KIR2DL3
ENSFM00250000009514	C8orf74
ENSFM00600000941480	C8orf74
ENSFM00600000941479	C8orf74
ENSFM00670001238350	MRAP
ENSFM00500000310675	MRAP
ENSFM00260000050685	REM2
ENSFM00760001714875	DNAJC21
ENSFM00670001236949	SCIMP
ENSFM00250000000973	RGS12
ENSFM00740001589341	CUBN
ENSFM00550000767868	CUBN
ENSFM00250000005222	BCL2L13
ENSFM00650001142364	BCL2L13
ENSFM00610000955595	BCL2L13
ENSFM00760001743950	BCL2L13
ENSFM00760001718714	BCL2L13
ENSFM00560000771917	KRTAP16-1
ENSFM00740001589134	KIR2DL4
ENSFM00250000001396	GREB1L
ENSFM00250000000663	ADARB2
ENSFM00600000921711	FAM221B
ENSFM00550000759406	NQO2
ENSFM00250000003453	NQO2
ENSFM00730001543935	NQO2
ENSFM00560000771184	MUC4
ENSFM00260000050477	MYOM1
ENSFM00670001242243	UFM1
ENSFM00670001236771	UFM1
ENSFM00550000749681	UFM1
ENSFM00730001521250	HLA-DQA2
ENSFM00500000272346	C6orf136
ENSFM00250000006425	WRAP73
ENSFM00250000007620	CXorf36
ENSFM00610000973607	HLA-DOB
ENSFM00730001521173	HLA-DOB
ENSFM00730001521569	KRAS
ENSFM00640001118513	KRAS
ENSFM00640001118512	KRAS
ENSFM00730001521094	OR51G2
ENSFM00730001521207	OR2T5
ENSFM00250000004250	MARVELD2
ENSFM00730001521444	OR51F1
ENSFM00320000100083	PSMB8
ENSFM00670001238419	IGLV4-69
ENSFM00800002004024	IGLV2-11
ENSFM00730001521947	OR10H4
ENSFM00250000011731	SIT1
ENSFM00740001589134	KIR3DS1
ENSFM00500000287498	CAMK2N1
ENSFM00350000105477	LRRC57
ENSFM00500000370433	IGLV10-54
ENSFM00250000000705	ALOX5
ENSFM00730001522083	FCN3
ENSFM00730001521438	HLA-DPA1
ENSFM00550000758987	HLA-DPA1
ENSFM00670001235362	ATP4B
ENSFM00730001521170	ENO1
