sample1	sample2
chr10:103622470-103661114	13.0087948463859	12.2110513678788
chr10:124942457-124943307	12.0472689942005	13.1439371720202
chr10:7797047-7802854	11.8868043220073	12.2110513678788
chr11:46076754-46092223	11.7062320763655	12.65851034485
chr12:111552280-111555919	13.2911945770866	13.1439371720202
chr12:120154970-120155719	13.0087948463859	12.9995472626851
chr12:78049993-78059115	11.2587730993943	12.4520594673826
chr13:32517857-32527532	11.8868043220073	12.8390825904918
chr14:102040236-102040673	13.6322314949217	12.65851034485
chr14:20343257-20343411	13.4717668227284	14.4795402038047
chr14:99458279-99465813	13.0087948463859	12.8390825904918
chr15:41668828-41669958	12.4431976705317	12.8390825904918
chr15:76274412-76295737	11.7062320763655	12.65851034485
chr16:3850297-3851009	13.0087948463859	12.65851034485
chr16:47497399-47515601	13.4140513248722	13.3954759390162
chr16:68121987-68123121	12.5542289829204	12.4520594673826
chr16:80684538-80685129	12.9286244977019	12.4520594673826
chr16:85633914-85634132	11.499781198898	13.7960138685999
chr17:45475100-45475726	12.6573224758845	13.1439371720202
chr17:46170855-46172232	12.4431976705317	12.4520594673826
chr17:77402059-77402703	12.1916589035357	12.2110513678788
chr17:82763965-82781721	11.8868043220073	12.2110513678788
chr18:12999421-13019206	13.8217092937854	13.2751817052985
chr18:24064140-24083081	12.4431976705317	13.1439371720202
chr18:9583117-9595102	11.7062320763655	12.4520594673826
chr19:12928342-12928847	12.322903436814	12.8390825904918
chr19:17101660-17102557	12.322903436814	12.2110513678788
chr19:40583398-40583717	11.7062320763655	12.2110513678788
chr1:155853276-155853806	13.0847436996192	12.4520594673826
chr1:20757166-20773610	12.1916589035357	12.2110513678788
chr1:247155566-247159813	13.9078659375351	12.9995472626851
chr1:31915895-31919658	14.2087324168947	14.5845097634062
chr1:41070595-41075451	12.1916589035357	12.4520594673826
chr1:44753255-44753699	13.5272619353202	13.2751817052985
chr1:65913245-65918835	13.989166039637	12.65851034485
chr20:35714185-35725155	13.4717668227284	12.9995472626851
chr20:63775678-63790790	11.8868043220073	12.2110513678788
chr21:37420299-37421866	12.8437356001154	13.1439371720202
chr22:20933779-20934244	13.0847436996192	12.65851034485
chr22:45689712-45718493	12.6573224758845	12.65851034485
chr22:45700282-45740538	12.6573224758845	13.1439371720202
chr22:45729425-45740538	11.8868043220073	12.8390825904918
chr2:190900564-190924593	12.0472689942005	12.2110513678788
chr2:199368605-199433514	13.0847436996192	12.2110513678788
chr2:199380364-199433514	11.8868043220073	12.2110513678788
chr2:230442937-230450255	12.5542289829204	12.65851034485
chr2:54982515-54987698	14.4286981008366	13.3954759390162
chr2:61522611-61533903	13.156893485375	12.65851034485
chr2:73088050-73089315	11.499781198898	12.2110513678788
chr3:111112030-111126335	12.322903436814	13.1439371720202
chr3:111112030-111147484	11.8868043220073	12.2110513678788
chr3:11358418-11426926	13.0087948463859	12.2110513678788
chr3:114350274-114351878	11.8868043220073	12.65851034485
chr3:170136419-170149244	11.7062320763655	12.65851034485
chr3:50065031-50066502	11.499781198898	12.2110513678788
chr3:61622463-61623555	11.8868043220073	12.2110513678788
chr4:152411303-152412529	13.4140513248722	12.9995472626851
chr4:176711499-176729746	13.4717668227284	12.8390825904918
chr4:185247294-185267155	13.3539303324346	13.5065072514049
chr4:37631385-37638504	12.1916589035357	12.9995472626851
chr4:87046166-87047594	12.5542289829204	12.2110513678788
chr5:168488602-168494650	13.0847436996192	12.2110513678788
chr5:177536358-177539147	11.7062320763655	12.4520594673826
chr5:95755396-95763620	13.4140513248722	12.4520594673826
chr6:136694140-136698682	12.4431976705317	13.7960138685999
chr6:158580940-158589782	12.322903436814	12.2110513678788
chr6:47283938-47286595	12.8437356001154	12.4520594673826
chr6:4891713-4892379	13.8217092937854	13.609600744369
chr6:87215903-87218731	12.5542289829204	12.2110513678788
chr7:100023419-100024307	13.8654306712147	13.5065072514049
chr7:100812747-100813208	13.4717668227284	12.9995472626851
chr7:129014979-129018157	12.1916589035357	13.1439371720202
chr7:155672867-155680908	14.3071361209556	13.9610731148704
chr7:22960256-22991139	12.4431976705317	12.2110513678788
chr7:35667434-35673278	12.1916589035357	12.2110513678788
chr8:130152736-130169067	13.2256062354591	12.65851034485
chr8:130152736-130180880	14.2087324168947	13.9610731148704
chr8:140846260-140890769	13.2911945770866	12.9995472626851
chr8:18765449-18804898	13.7300788183198	13.7960138685999
chr8:18799295-18804898	12.4431976705317	12.8390825904918
chr9:110941421-110973558	13.8217092937854	13.5065072514049
chr9:110972073-110973558	16.2546687010615	16.8962779920734
