Name	Parent name
SLC25A1	SLC25A1P4
AKR1C1	AKR1E2
HLA-DRB1	HLA-DRB6
HLA-B	HLA-C
OR7E25P	OR7E24
RP11-597A11.4	USP10
RP11-731C17.1	SULT1C4
RP6-149D17.1	PNLIPRP2
RP5-839M11.1	H2BFWT
RP11-343L14.2	PKM2
RP11-252O18.3	ZCCHC10
RP11-534I8.1	PDCD2
AC004909.3	SLC34A2
RP11-249J13.1	PRELID2
RAC1P3	RAC2
AP000435.4	OR5B12
AC111200.8	NDUFB4
TUBG1P	TUBG1
RP11-378N18.1	C4orf33
RP11-928F19.3	OR11H6
OR4R3P	OR4C46
CDK2AP2P1	CDK2AP2
HMGN2P13	HMGN2
CTD-2311B13.3	MED15
SNX18P25	SNX18
RP1-163M9.6	PDE4DIP
AC011998.4	PRDX5
RP11-536C10.6	ARHGAP42
RPS23P7	RPS23
DDX6P2	DDX6
UBBP1	UBB
AC007742.6	XKR3
RP5-854E16.2	CDK5RAP3
RP11-735A19.2	KDM4DL
RP11-299J3.6	WDR5B
FAR1P1	FAR1
COX5BP3	COX5B
AC104389.32	C11orf10
OR10AK1P	OR10A3
RP11-351M16.1	RPSA
CTB-161M19.1	NANP
RP11-180I4.1	PSMA7
BX649597.4	FKBP4
RP11-413E6.1	RPL23A
RP11-654C22.1	MT-CO3
RP11-346C16.4	RPS19
RP11-175P19.2	EEF1A1
EXTL2P1	EXTL2
SEC63P2	SEC63
ASS1P2	ASS1
AC019097.7	SMC3
RP11-463M16.4	SUMO2
RPS26P6	RPS26
RP11-266E8.2	SAFB
RP11-62L10.1	RPL24
OFD1P12Y	OFD1
OR8L1P	OR5R1
RP11-685B14.1	RPL10A
RP11-603B13.1	CYCS
AC096921.2	ENC1
RBMS1P1	RBMS1
RP11-1286E23.1	ENPP7
RP11-646J21.7	SPIC
RP11-128A6.2	ODC1
DHFRP2	DHFR
RP11-124G5.2	DDB2
RPL34P21	RPL34
RP11-148K14.1	LRRC34
RP11-211A18.2	CTSB
IFNA22P	IFNA7
AC079809.2	SUMO2
AC011816.3	PRADC1
PPP1R26P5	PPP1R26
PLA2G12AP1	PLA2G12A
RP11-325O24.2	TBL1XR1
RP3-334F4.2	RPL10
RPL12P43	RPL12
RP11-317B7.2	HBS1L
RP11-280G19.1	NIP7
NPM1P22	NPM1
COX5BP2	COX5B
CTD-2335L22.6	ATP1B3
SRIP1	SRI
SETP22	SET
RP5-1068H6.3	RPS4Y1
RP11-109N23.5	RMND1
RP11-403B2.4	GRAMD4
RP11-457P14.6	TSPAN17
AC011406.2	TMEM185B
EIF4BP9	EIF4B
RP3-388M5.8	RPL4
RPL34P17	RPL34
RP11-30K9.2	ZNF444
RP11-157L3.5	FAM27E2
RP3-422G23.3	USMG5
AC127537.7	RPL21
AC005189.6	VMA21
RP11-292B8.2	RBM17
AC005488.12	SPDYE1
RP11-227P3.1	GTF2I
RPL36AP43	RPL36A
CBX1P3	CBX1
RP5-1198O20.5	ATP5G1
ZBTB12B	ZBTB12
IGKV3-31	IGKV3-15
AP000857.2	RHOB
RP11-65J3.6	KLHL15
AC098614.3	KIAA1143
RP11-365F18.3	MSL3
RP11-26H16.1	RPL21
VN1R96P	VN1R1
TCEA1P	TCEA1
CTD-2537L20.1	COX6C
RP11-344N17.9	OAT
OR7E161P	OR7E24
RP11-154P18.2	C2orf27A
RP11-476C8.2	UNG
RP11-113K21.3	COX5B
RP11-443F16.1	RPS20
RP11-468N14.7	UGT2B7
OR4A10P	OR4A5
AC107983.4	RPS28
RABEPKP1	RABEPK
RP11-374M1.9	FAM27E2
RP13-228J13.5	TMLHE
RP11-418J17.2	RPL6
HMGN2P30	HMGN2
IGHV3-50	IGHV3-7
NCOR1P3	NCOR1
AC139143.1	RPL36A
CCT4P1	CCT4
RP11-384C4.3	RPL23A
RAC1P5	CDC42
RPS19P3	RPS19
CNN2P8	CNN2
RP11-337A23.5	H3F3B
RP11-583F24.4	MRGPRX1
CTB-47B11.1	RPL26
RP4-667H12.4	RNASEH1
RP11-366I21.1	PPIA
RCC2P5	RCC2
SLC25A15P4	SLC25A15
AC004938.5	RPL36A
RPS7P9	RPS7
RPS2P1	RPS2
MTND2P26	MT-ND2
RP11-478C6.4	RPS17
RPLP0P2	RPLP0
RP11-5K23.3	RPS23
RP11-688H10.1	RPL18
RP11-126F18.2	REXO4
AC073869.20	NOC2L
RP11-628J14.1	SSX2IP
OR52J1P	OR52J3
OR5BE1P	OR5J2
AC006328.9	AC019294.4
UQCRFS1P3	UQCRFS1
RP11-466G12.3	NCOA4
RP11-403F21.3	TCEA1
RP11-515C16.1	RPL36
RPS27AP2	RPS27A
RP11-686G8.1	IFITM3
CTD-2552B11.2	SMARCE1
RP11-467L13.5	IFITM3
AC008171.1	CLIP2
CDKN2AIPNLP2	CDKN2AIPNL
TRIM60P18	TRIM60
RBBP8P1	RBBP8
AC007389.1	DNAJB12
SRP9P1	SRP9
RP11-643N23.1	CDCA7L
RP11-364L4.1	RPS2
RP3-507I15.1	RPL36
RP11-385F23.1	CHCHD3
CTC-327F10.1	FPR1
CLNS1AP1	CLNS1A
AC091654.7	RANBP2
OR11H5P	OR11H6
CYCSP34	CYCS
RP11-32D17.4	SEPT14
SDAD1P1	SDAD1
XKRYP5	XKR3
AC006230.4	AC009065.1
HMGN1P36	HMGN1
RP4-814D15.1	UBXN2B
GAPDHP54	GAPDH
RP11-25H11.1	RPS15
CTD-2647E9.1	RLIM
RP11-734C14.1	OR5R1
AC083862.6	RNF14
AC093166.1	RPL34
RP11-592H6.3	DYNLRB1
RP1-136J15.5	MFN1
RP11-366M4.2	RPL26
RP11-525E9.1	RANBP6
AC103563.2	IGHV1-24
ARL2BPP5	ARL2BP
RP11-963H4.1	RPL15
AC006026.12	RFK
RP13-36C9.5	MGAT2
RP11-147K6.1	RPL31
HNRNPA1P20	HNRNPA1
RPL18AP7	RPL18A
RP11-251A15.1	FAF2
CTD-2179L22.1	HSP90AB1
MTND5P28	MT-ND5
OR2R1P	OR2B2
AC096649.1	RPS15A
AC133644.3	PAFAH1B1
GSTA6P	GSTA3
AC005041.11	RDH12
PMS2P2	PMS2
RP11-169L17.3	CLDN7
IGLVI-42	IGLV1-40
RP11-480I12.2	COX7C
AC098828.3	RPS16
AC004448.4	RPL17
ZNF137P	ZNF816
CAPNS1P1	CAPNS1
CTD-2516K3.3	TSR1
AC064847.4	NDUFB4
AC079305.5	STUB1
RP11-32B5.3	CXADR
RPS12P20	RPS12
TCEB1P7	TCEB1
AC068831.11	SLIRP
RP11-298P6.5	MIOX
RP11-481K9.4	PPIA
PHBP14	PHB
SETP17	SET
AC012363.8	MT-CO3
RP11-119H12.4	TAF4B
BX664724.4	SDR42E1
RP1-76C18.1	CLPX
CTC-327F10.3	EEF1G
RP11-394D2.1	ACTB
CTD-2224J9.4	RPL39
RP11-122C9.1	RPL7
AC013267.1	RPS13
RP4-800M22.1	ADH5
RP11-781M16.1	GPBP1
RP11-379K17.5	FHL1
AC009237.6	FOLH1
CTD-2576F9.1	GLTSCR2
RP11-12M9.3	RPS9
NIPA2P1	NIPA2
RP11-216M21.2	C2orf27A
RP1-283E3.4	RPS7
